2024–25 ESTIMATES,,,,,,,,,,,,,,
Budgetary Expenditures by Standard Object,,,,,,,,,,,,,,
"This table shows the forecast of total expenditures by Standard Object, which includes the types of goods or services to be acquired, or the transfer payments to be made and the revenues to be credited to the vote.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Definitions of standard objects available at: http://www.tpsgc-pwgsc.gc.ca/recgen/pceaf-gwcoa/2425/7-eng.html,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Interest payments relating to capital leases are included under ""Public debt charges"". These payments are voted expenditures and are not included under the ""Public Debt"" heading on the Composition of Estimates and Expenditures table.",,,,,,,,,,,,,,
Table 1. Budgetary Expenditures by Standard Object,,,,,,,,,,,,,,
Organization,Personnel,Transportation and communications,Information,Professional and special services,Rentals,Purchased repair and maintenance,"Utilities, materials and supplies","Acquisition of land, buildings and works",Acquisition of machinery and equipment,Transfer payments,Public debt charges,Other subsidies and payments,Less: Revenues and other reductions,Total
Department of Justice,"754,999,372","6,237,381","3,651,501","41,284,562","8,504,170","2,443,413","2,150,766",0,"6,889,284","541,777,260",0,"1,974,162","442,000,000","927,911,871"
Department of National Defence,"12,425,940,799","750,526,969","32,872,684","5,680,774,806","790,352,775","2,204,164,123","1,386,504,362","828,887,026","5,504,225,430","894,136,093","3,555,001","421,505,996","338,642,110","30,584,803,954"
Department of Natural Resources,"601,158,348","14,751,109","28,901,688","221,754,445","35,642,137","11,250,326","43,520,202","7,149,215","60,048,332","4,553,734,754",0,"10,070,628","36,841,231","5,551,139,953"
Department of Public Safety and Emergency Preparedness,"184,870,259","1,275,239","8,324,546","27,048,330","6,405,378","8,369,883","461,368","10,939,665","3,723,081","1,353,564,563",0,"2,991,516","2,700,000","1,605,273,828"
Department of Public Works and Government Services,"2,033,291,943","69,008,891","33,901,054","2,110,043,219","1,335,047,256","1,495,813,597","174,850,815","888,070,977","138,496,524",0,"119,631,498","415,988,314","4,029,911,078","4,784,233,010"
Department of the Environment,"1,008,419,828","34,361,895","13,980,023","216,239,345","50,489,026","19,630,963","50,803,225","1,668,690","51,416,994","1,382,418,335","305,951","5,789,843","74,554,892","2,760,969,226"
Department of Transport,"853,035,462","16,674,206","8,603,676","214,853,093","19,789,967","19,362,227","16,729,043","157,552,841","122,960,495","2,198,060,412",0,"131,580,459","107,372,708","3,651,829,173"
Department of Veterans Affairs,"369,951,171","33,074,265","5,365,932","609,208,426","26,075,973","9,786,198","352,576,272","350,410","6,816,322","4,800,819,351",0,"6,458",0,"6,214,030,778"
Department of Western Economic Diversification,"36,928,930","1,026,187","1,451,244","5,772,302","1,703,713","758,748","148,376",0,"1,966,767","275,379,745",0,0,"3,800,000","321,336,012"
Economic Development Agency of Canada for the Regions of Quebec,"44,864,265","341,000","218,000","3,024,477","763,000","19,000","58,000",0,"640,000","266,261,739",0,0,0,"316,189,481"
Federal Economic Development Agency for Northern Ontario,"14,804,756","266,814","159,906","728,112","122,707","23,459","12,632",0,"120,159","38,172,996",0,"730,033",0,"55,141,574"
Federal Economic Development Agency for Southern Ontario,"30,758,602","339,615","703,828","5,963,791","260,334","43,508","77,940",0,"513,555","190,020,359",0,0,0,"228,681,532"
Financial Transactions and Reports Analysis Centre of Canada,"75,096,844","1,014,892","856,045","10,853,619","11,538,650","595,485","186,064",0,"3,981,282",0,0,"3,420",0,"104,126,301"
House of Commons,"479,875,857","51,525,901","16,555,673","25,363,419","24,191,806","9,707,618","12,960,780",0,"29,228,089","1,189,219",0,"924,819","27,831,187","623,691,994"
Immigration and Refugee Board,"259,105,578","3,605,433","642,089","35,456,573","8,421,630","12,004,393","761,781","348,538","13,960,874",0,0,"201,170",0,"334,508,059"
Impact Assessment Agency of Canada,"66,233,721","2,715,775","814,733","19,825,158","271,578","81,473","271,578",0,"3,123,141","21,253,903",0,"54,314","8,001,000","106,644,374"
International Development Research Centre,0,0,0,0,0,0,0,0,0,0,0,"157,520,169",0,"157,520,169"
International Joint Commission (Canadian Section),"4,900,635","550,000","150,000","1,594,833","175,000","15,000","25,000",0,"85,000",0,0,0,0,"7,495,468"
Invest in Canada Hub,0,"990,000","28,300,000","2,602,000","500,000","10,000","30,000",0,"643,156",0,0,0,0,"33,075,156"
Law Commission of Canada,"1,400,356","139,405","14,184","1,003,001","328,935","419,689","150,998",0,"419,027",0,0,0,0,"3,875,595"
Leaders’ Debates Commission,"744,397","56,733","191,080","2,507,048","7,018",0,0,0,0,0,0,"6,802",0,"3,513,078"
Library and Archives of Canada,"103,930,801","1,544,860","767,795","10,722,505","3,323,703","5,174,973","4,531,288","51,382,459","3,260,552","2,656,000","5,532,191","10,479,563","3,500,000","199,806,690"
Library of Parliament,"53,202,051","572,667","1,835,564","3,205,159","751,557","16,500","4,072,041",0,"204,490",0,0,0,"1,000,000","62,860,029"
Marine Atlantic Inc.,0,0,0,0,0,0,0,0,0,0,0,"159,010,958",0,"159,010,958"
Military Grievances External Review Committee,"6,341,478","20,690","10,195","1,302,505","482,300","32,465","10,090",0,"47,300",0,0,0,0,"8,247,023"
Military Police Complaints Commission,"3,999,589","96,000","50,000","887,000","474,000","5,000","7,100",0,"68,000",0,0,0,0,"5,586,689"
National Arts Centre Corporation,0,0,0,0,0,0,0,0,0,0,0,"57,005,441",0,"57,005,441"
National Capital Commission,0,0,0,0,0,0,0,0,0,0,0,"94,769,836",0,"94,769,836"
National Film Board,"47,270,032","2,723,000","2,433,000","12,566,000","11,967,000","340,000","430,000",0,"2,503,000",0,0,"122,050","8,400,000","71,954,082"
National Gallery of Canada,0,0,0,0,0,0,0,0,0,0,0,"50,020,493",0,"50,020,493"
National Museum of Science and Technology,0,0,0,0,0,0,0,0,0,0,0,"38,404,738",0,"38,404,738"
National Research Council of Canada,"560,744,440","12,126,606","1,436,992","99,197,432","18,576,600","29,698,437","57,261,623","67,668,169","113,392,831","610,696,760",0,"24,343,084",0,"1,595,142,974"
National Security and Intelligence Review Agency Secretariat,"13,205,487","684,752","76,000","3,577,453","309,200","435,741","58,000",0,"65,000",0,0,0,0,"18,411,633"
Natural Sciences and Engineering Research Council,"56,585,503","565,495","832,486","4,460,820","1,120,380","94,303","40,774",0,"1,958,977","1,318,171,508",0,"3,760",0,"1,383,834,006"
Northern Pipeline Agency,"244,670","25,000","1,000","280,000","12,000","1,000","1,000",0,"5,000",0,0,0,0,"569,670"
Office of Infrastructure of Canada,"158,365,250","1,708,395","1,601,114","48,846,598","3,427,254","19,285,760","11,035","13,483,865","6,697,742","7,909,381,695","42,401,308",0,0,"8,205,210,016"
Office of the Auditor General,"104,945,620","2,700,000","1,400,000","13,940,000","3,169,000","120,000","347,000",0,"3,354,000",0,0,"100,000","2,660,000","127,415,620"
Office of the Chief Electoral Officer,"135,522,201","5,550,459","5,253,459","70,852,492","23,506,730","9,548,122","1,419,321",0,"6,785,504","850,000",0,0,0,"259,288,288"
Office of the Commissioner for Federal Judicial Affairs,"736,952,253","23,326,000","126,000","17,356,804","704,000","41,000","56,000",0,"411,000",0,0,"10,102,000","275,000","788,800,057"
Office of the Commissioner of Lobbying,"4,653,502","61,094","46,522","950,206","82,849","6,006","10,750",0,"145,058",0,0,0,0,"5,955,987"
Office of the Commissioner of Official Languages,"20,311,888","504,234","277,329","2,773,283","352,964","252,117","100,847",0,"756,351",0,"25,212",0,0,"25,354,225"
Office of the Conflict of Interest and Ethics Commissioner,"7,151,508","122,420","114,600","1,022,710","61,485","5,000","23,240",0,"74,600",0,0,0,0,"8,575,563"
Office of the Correctional Investigator of Canada,"6,005,003","150,000","110,000","1,000,407","50,000","37,000","110,000",0,0,0,0,0,0,"7,462,410"
Office of the Director of Public Prosecutions,"166,014,801","6,871,517","425,377","45,765,091","2,831,017","2,272,129","1,556,699","2,082,923","3,375,467",0,0,0,"22,742,000","208,453,021"
Office of the Governor General’s Secretary,"18,755,374","1,339,722","815,483","1,689,215","640,737","29,124","582,488",0,"698,985","990,536",0,"29,124",0,"25,570,788"
Office of the Intelligence Commissioner,"1,319,140","27,000","30,000","745,000","325,000","100,000","19,713",0,"10,000",0,0,0,0,"2,575,853"
Office of the Parliamentary Budget Officer,"6,155,571","83,000","291,000","712,000","286,000","26,000","239,322",0,"78,000",0,0,0,0,"7,870,893"
Office of the Public Sector Integrity Commissioner,"4,644,378","220,684","23,195","989,177","74,515","2,000","2,635",0,"58,269","50,000",0,"1,500",0,"6,066,353"
Office of the Senate Ethics Officer,"1,202,601","19,000","5,000","350,000","6,000","1,000","7,500",0,"6,000",0,0,0,0,"1,597,101"
Office of the Superintendent of Financial Institutions,"249,882,220","4,384,256","2,497,603","33,088,999","19,232,224","918,528","204,991","5,404,515","6,292,558",0,0,"31,967",0,"321,937,861"
Offices of the Information and Privacy Commissioners of Canada,"43,319,293","535,963","456,327","4,370,952","1,098,819","169,597","69,877","34,159","783,723","500,000",0,"12,235","200,000","51,150,945"
Pacific Economic Development Agency of Canada,"19,401,790","1,208,544","1,087,690","8,338,953","725,126",0,"120,854",0,"604,272","89,283,824",0,0,0,"120,771,053"
Parks Canada Agency,"523,385,706","16,053,471","12,887,613","149,244,278","29,103,809","16,133,256","76,804,848","218,281,541","37,972,157","89,498,280",0,"59,842,009",0,"1,229,206,968"
Parliamentary Protective Service,"88,679,276","335,000","36,000","9,564,607","1,257,356","833,039","1,147,637",0,"2,175,657",0,0,"2,014,611","1,500,000","104,543,183"
Parole Board of Canada,"60,510,595","2,260,000","100,000","10,000,000","410,000","52,000","157,571",0,"280,000",0,0,0,"500,000","73,270,166"
Patented Medicine Prices Review Board,"10,910,335","247,275","1,293,021","4,763,712","124,900","63,080","10,000",0,"287,045",0,0,"46,679",0,"17,746,047"
Privy Council Office,"180,924,445","5,284,968","5,216,976","41,194,656","5,721,178","1,787,300","569,127",0,"8,997,270","2,248,489",0,"34,366","8,628,189","243,350,586"
Public Health Agency of Canada,"462,225,089","7,416,939","24,938,890","170,450,644","6,737,446","10,125,642","780,612,370",0,"30,669,718","373,754,265",0,"2,526,257","950,000","1,868,507,260"
Public Service Commission,"98,754,719","88,848","177,963","11,229,814","1,113,936","48,826","96,852",0,"961,854",0,0,"96,852","14,252,000","98,317,664"
Registrar of the Supreme Court of Canada,"38,691,164","1,716,156","372,621","2,783,367","1,250,102","221,891","1,294,518",0,"1,629,557",0,0,"8,411",0,"47,967,787"
Royal Canadian Mounted Police,"5,136,531,335","214,651,820","3,808,686","588,034,140","147,758,696","108,998,980","161,489,996","94,612,823","280,823,803","29,845,483","467,483","143,255,997","2,062,523,143","4,847,756,099"
Royal Canadian Mounted Police External Review Committee,"4,994,236","60,000","40,000","883,080","50,000","20,000","55,000",0,"160,000",0,0,"260,000",0,"6,522,316"
Secretariat of the National Security and Intelligence Committee of Parliamentarians,"1,919,625","58,432","11,898","1,568,856","146,861",0,"8,059",0,"6,711",0,0,158,0,"3,720,600"
Senate,"100,347,897","12,447,476","2,121,590","8,694,737","3,348,987","1,861,032","1,018,177",0,"4,543,318","450,000",0,"35,300",0,"134,868,514"
Shared Services Canada,"996,178,475","683,272,085","3,663,460","431,172,488","599,006,314","276,675,193","5,689,499","3,191,324","333,319,398",0,"871,522",0,"853,000,000","2,480,039,758"
Social Sciences and Humanities Research Council,"38,728,258","937,771","1,778,379","4,789,203","1,473,967","163,276","193,153",0,"987,248","1,148,878,654",0,"1,986",0,"1,197,931,895"
Standards Council of Canada,0,0,0,0,0,0,0,0,0,0,0,"21,397,106",0,"21,397,106"
Statistics Canada,"729,133,153","18,603,125","19,232,523","36,505,798","36,132,957","1,155,940","1,325,378","586,926","10,321,430",0,0,"3,643,103","120,000,000","736,640,333"
Telefilm Canada,0,0,0,0,0,0,0,0,0,0,0,"103,308,591",0,"103,308,591"
The Federal Bridge Corporation Limited,0,0,0,0,0,0,0,0,0,0,0,"17,923,000",0,"17,923,000"
The Jacques-Cartier and Champlain Bridges Inc.,0,0,0,0,0,0,0,0,0,0,0,"262,413,187",0,"262,413,187"
The National Battlefields Commission,"6,034,082","120,000","290,000","3,803,867","80,000","10,056,123","500,000","150,000","500,000",0,0,"2,900,000",0,"24,434,072"
Treasury Board Secretariat,"5,706,126,900","3,084,503","1,877,280","158,127,790","24,893,870","2,919,420","786,110",0,"11,819,281","981,690",0,"4,534,863,618","1,101,187,433","9,344,293,029"
Veterans Review and Appeal Board,"20,864,694","543,610","10,391","713,451","143,643",165,"245,926",0,"53,348",0,0,113,0,"22,575,341"
VIA HFR - VIA TGF Inc.,0,0,0,0,0,0,0,0,0,0,0,"45,254,000",0,"45,254,000"
VIA Rail Canada Inc.,0,0,0,0,0,0,0,0,0,0,0,"1,159,349,066",0,"1,159,349,066"
Windsor-Detroit Bridge Authority,0,0,0,0,0,0,0,0,0,0,0,"951,657,774",0,"951,657,774"
Total,"59,276,692,576","3,106,734,085","567,856,631","19,125,402,722","4,496,687,531","4,758,030,614","4,505,216,343","3,043,661,728","8,138,918,520","282,970,538,103","46,711,790,166","26,625,393,170","14,149,919,912","449,177,002,277"
